날짜,발표처,제목,웹주소
2016-07-19,이타임즈,이산화탄소 포집·저장 기술…최신 국제동향 듣는다,=HYPERLINK("http://www.etimes.net/service/etimes_2011/ShellView.asp?ArticleID=2016071910431800948&LinkID=6347&newsset=world_juyo")
2016-07-19,전자신문,가족동반 출장·뇌물…출연연의 '不法 불감증',=HYPERLINK("http://www.etnews.com/20160718000470")
2016-07-19,전자신문,[출연연 대개혁]미래부 ETRI 노조 매점 운영 지적,=HYPERLINK("http://www.etnews.com/20160718000535")
2016-07-19,전자신문,[출연연 대개혁] <1>노는 연구원 노는 연구자,=HYPERLINK("http://www.etnews.com/20160718000407")
2016-07-19,중도일보,출연연 연구장비 '집적화'로 중소기업 적극 지원,=HYPERLINK("http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201607181838")
2016-07-19,중도일보,과학기술연구회 출연연과 함께하는 여름방학 과학탐구생활,=HYPERLINK("http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201607181839")
2016-07-19,충청투데이,3D프린팅도 하고 자동차도 만들고… “여름방학은 출연연과 함께”,=HYPERLINK("http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=991286")
2016-07-19,충청투데이,권선택 시장 대덕특구 분산 막아 과학도시 위상 지켜야,=HYPERLINK("http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=991374")
2016-07-19,노컷뉴스,'식비 삭감·상여금 차별'…공공기관·노동자 간 갈등 이어져,=HYPERLINK("http://www.nocutnews.co.kr/news/4624525")
2016-07-19,매일경제,렌즈 불량 줄이고…`건강 곤약` 개발 돕고,=HYPERLINK("http://news.mk.co.kr/newsRead.php?no=514685&year=2016")
2016-07-21,연합뉴스,중국 지하철에 ETRI 기가급 데이터서비스 적용,=HYPERLINK("http://www.yonhapnews.co.kr/bulletin/2016/07/21/0200000000AKR20160721052800063.HTML")
2016-07-21,서울경제,ETRI·전경련 예비창업자 성장 도우미 나서,=HYPERLINK("http://www.sedaily.com/NewsView/1KYXUHELEO")
2016-07-21,전자신문,[출연연 대개혁]<3>출연연 R&D 생산성 인건비 빼고도 미국 절반,=HYPERLINK("http://www.etnews.com/20160720000367")
2016-07-21,한국경제,기업 키워 일자리 늘렸더니…기다리는 건 차별과 서자 취급,=HYPERLINK("http://www.hankyung.com/news/app/newsview.php?aid=2016072004291")
